year,sitting,date,grade,passages,works,wrong_rate,cut,source,note
1994,수능(1차),1993-08-20,C,,,,,02-timeline,1차
1994,수능(2차),1993-11-16,C,,,,,02-timeline,2차
1995,수능,1994-11-23,C,,,,,02-timeline,
1996,수능,1995-11-22,C,,,,,02-timeline,
1997,수능,1996-11-13,C,,,,,02-timeline,
1998,수능,1997-11-19,C,,,,,02-timeline,
1999,수능,1998-11-18,C,,,,,02-timeline,
2000,수능,1999-11-17,C,,,,,02-timeline,
2001,수능,2000-11-15,C,,,,,02-timeline,
2002,수능,2001-11-07,C,,,,,02-timeline,
2003,수능,2002-11-06,C,,,,,02-timeline,
2004,수능,2003-11-05,C,,,,,02-timeline,
2005,수능,2004-11-17,C,,,,,02-timeline,
2006,수능,2005-11-23,C,,,,,02-timeline,
2007,수능,2006-11-16,C,,,,,02-timeline,
2008,수능,2007-11-15,C,,,,,02-timeline,
2009,수능,2008-11-13,C,,,,,02-timeline,
2010,수능,2009-11-12,C,,,,,02-timeline,
2011,수능,2010-11-18,C,,,,,02-timeline,
2012,수능,2011-11-10,C,,,,,02-timeline,
2013,수능,2012-11-08,C,,,,,02-timeline,
2014,수능,2013-11-07,C,,,,,02-timeline,
2015,수능,2014-11-13,C,,,,,02-timeline,
2016,수능,2015-11-12,C,,,,,02-timeline,
2017,수능,2016-11-17,C,,,,,02-timeline,
2018,수능,2017-11-23,C,,,,,02-timeline,
2019,수능,2018-11-15,C,,,,,02-timeline,
2020,수능,2019-11-14,C,,,,,02-timeline,
2021,수능,2020-12-03,C,,,,,02-timeline,
2022,수능,2021-11-18,C,,,,,02-timeline,
2023,수능,2022-11-17,C,,,,,02-timeline,
2024,수능,2023-11-16,B,,,,,14-collected-data,
2025,수능,2024-11-14,C,,,,,02-timeline,
2026,수능,2025-11-13,B,,,,,14-collected-data,
2017,6월,,-,,,,,,미확보
2017,9월,,-,,,,,,미확보
2018,6월,,-,,,,,,미확보
2018,9월,,-,,,,,,미확보
2019,6월,,-,,,,,,미확보
2019,9월,,-,,,,,,미확보
2020,6월,,-,,,,,,미확보
2020,9월,,-,,,,,,미확보
2021,6월,,-,,,,,,미확보
2021,9월,,-,,,,,,미확보
2022,6월,,-,,,,,,미확보
2022,9월,,-,,,,,,미확보
2023,6월,,-,,,,,,미확보
2023,9월,,-,,,,,,미확보
2024,6월,,-,,,,,,미확보
2024,9월,,-,,,,,,미확보
2025,6월,,-,,,,,,미확보
2025,9월,,-,,,,,,미확보
2026,6월,,-,,,,,,미확보
2026,9월,,-,,,,,,미확보
2027,6월,,-,,,,,,미확보
2027,9월,,-,,,,,,미확보
2028,예시문항,2025-04-15,B,7세트,김기림 길/천양희 한계 등,,,14-collected-data,
